ID,Xpath,Page,Field,action
EnterPINPepImage,//android.widget.ImageView[@resource-id='com.mobeewave.pep.test.debug:id/lock_bank_logo'],EnterPIN,PepImage,view
EnterPINEncryptedPIN,//android.widget.TextView[@resource-id='com.mobeewave.pep.test.debug:id/lock_pin_bg'],EnterPIN,EncryptedPIN,view
EnterPINEnterYourPINText,//android.widget.TextView[@resource-id='com.mobeewave.pep.test.debug:id/lock_header'],EnterPIN,EnterYourPINText,view
EnterPIN1,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_1'],EnterPIN,1,click
EnterPIN2,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_2'],EnterPIN,2,click
EnterPIN3,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_3'],EnterPIN,3,click
EnterPIN4,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_4'],EnterPIN,4,click
EnterPIN5,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_5'],EnterPIN,5,click
EnterPIN6,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_6'],EnterPIN,6,click
EnterPIN7,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_7'],EnterPIN,7,click
EnterPIN8,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_8'],EnterPIN,8,click
EnterPIN9,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_9'],EnterPIN,9,click
EnterPINDelete,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_delete'],EnterPIN,Delete,click
EnterPIN0,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_0'],EnterPIN,0,click
EnterPINOK,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/numpad_button_ok'],EnterPIN,OK,click
EnterPINForgotPIN,//android.widget.Button[@resource-id='com.mobeewave.pep.test.debug:id/base_tertiary_button'],EnterPIN,ForgotPIN,click
